x,y,class
-6.975806452,-2.946915584,0
-6.975806452,-2.933116883,0
-6.451612903,-2.919318182,0
-5.524193548,-2.916883117,0
-4.758064516,-2.937175325,0
-4.838709677,-2.949350649,0
-5.60483871,-2.958279221,0
-6.935483871,-2.958279221,0
-6.612903226,-2.93961039,0
-5.564516129,-2.941233766,0
-5.766129032,-2.960714286,0
-6.774193548,-2.966396104,0
-6.975806452,-2.933116883,0
-6.330645161,-2.91038961,0
-4.516129032,-2.912012987,0
-4.233870968,-2.936363636,0
-4.556451613,-2.959902597,0
-5.64516129,-2.972077922,0
-6.612903226,-2.952597403,0
-6.008064516,-2.935551948,0
-4.838709677,-2.935551948,0
-4.072580645,-2.948538961,0
-4.153225806,-2.963149351,0
-5.443548387,-2.971266234,0
-6.653225806,-2.968831169,0
-7.298387097,-2.928246753,0
-5.60483871,-2.907954545,0
-3.830645161,-2.919318182,0
-3.346774194,-2.955032468,0
2.5,-2.972077922,1
2.338709677,-2.956655844,1
2.379032258,-2.932305195,1
2.943548387,-2.920941558,1
4.435483871,-2.928246753,1
5.080645161,-2.957467532,1
4.475806452,-2.97288961,1
3.548387097,-2.973701299,1
2.782258065,-2.946915584,1
3.306451613,-2.937175325,1
4.35483871,-2.945292208,1
4.314516129,-2.957467532,1
3.629032258,-2.957467532,1
3.427419355,-2.953409091,1
3.266129032,-2.947727273,1
2.741935484,-2.971266234,1
3.387096774,-2.966396104,1
4.596774194,-2.938798701,1
3.10483871,-2.925811688,1
1.814516129,-2.942045455,1
-3.467741935,-2.923376623,1
-3.024193548,-2.912824675,1
-2.459677419,-2.907954545,1
-1.975806452,-2.904707792,1
-1.290322581,-2.900649351,1
-0.564516129,-2.898214286,1
0.403225806,-2.896590909,1
1.572580645,-2.895779221,1
2.137096774,-2.899837662,1
3.951612903,-2.91038961,1
5.161290323,-2.92012987,1
4.516129032,-2.932305195,1
3.870967742,-2.943668831,1
2.379032258,-2.933928571,1
0.927419355,-2.912824675,1
-0.685483871,-2.908766234,1
-1.572580645,-2.92012987,1
-2.661290323,-2.926623377,1
-2.782258065,-2.931493506,1
-1.85483871,-2.936363636,1
0.241935484,-2.928246753,1
1.814516129,-2.925,1
2.822580645,-2.93474026,1
2.258064516,-2.938798701,1
0.161290323,-2.929058442,1
-1.532258065,-2.92987013,1
-2.459677419,-2.937175325,1
-2.540322581,-2.937987013,1
-0.64516129,-2.933928571,1
0.967741935,-2.935551948,1
1.774193548,-2.945292208,1
2.217741935,-2.954220779,1
1.370967742,-2.950974026,1
-1.048387097,-2.937987013,1
-2.177419355,-2.947727273,1
-1.935483871,-2.952597403,1
0.403225806,-2.951785714,1
2.782258065,-2.962337662,1
2.419354839,-2.965584416,1
1.209677419,-2.965584416,1
-0.766129032,-2.966396104,1
-1.89516129,-2.962337662,1
-1.088709677,-2.924188312,1
0.64516129,-2.897402597,1
6.209677419,-2.914448052,1
6.088709677,-2.925,1
2.580645161,-2.905519481,1
-0.443548387,-2.891720779,1
-1.129032258,-2.930681818,1
-0.403225806,-2.964772727,1
-2.620967742,-2.963149351,0
-2.5,-2.97288961,0
-3.588709677,-2.971266234,0
-4.233870968,-2.97288961,0
-6.169354839,-2.9875,0
-5,-2.984253247,0
-4.193548387,-2.98262987,0
-2.741935484,-2.985876623,0
-1.290322581,-2.985876623,0
0.725806452,-2.985876623,0
2.983870968,-2.986688312,0
3.830645161,-2.9875,0
4.838709677,-2.996428571,0
4.193548387,-3.000487013,0
2.540322581,-2.999675325,0
1.491935484,-2.993993506,0
-0.685483871,-2.991558442,0
-2.620967742,-2.99237013,0
-4.637096774,-2.993993506,0
-5.766129032,-2.999675325,0
-3.548387097,-3.00211039,0
-1.25,-2.995616883,0
-0.403225806,-2.985064935,0
-1.290322581,-2.978571429,0
-2.661290323,-2.9875,0
-4.35483871,-2.989935065,0
-3.467741935,-3.001298701,0
-1.653225806,-2.998863636,0
-0.725806452,-3.000487013,0
1.008064516,-3.001298701,0
3.10483871,-3.00211039,0
3.629032258,-3.001298701,0
1.209677419,-2.976136364,0
-0.080645161,-2.972077922,0
-2.459677419,-2.991558442,0
-4.112903226,-2.99724026,0
-3.669354839,-3.002922078,0
-1.129032258,-3.003733766,0
1.975806452,-3.006980519,0
3.629032258,-3.005357143,0
4.838709677,-3.005357143,0
4.39516129,-3.002922078,0
0.201612903,-2.99724026,0
-2.419354839,-3.001298701,0
-4.032258065,-3.006980519,0
-3.024193548,-3.011850649,0
-0.887096774,-3.011850649,0
1.89516129,-3.016720779,0
3.830645161,-3.015097403,0
6.008064516,-3.014285714,0
6.411290323,-3.007792208,0
5.524193548,-2.99724026,0
4.758064516,-2.991558442,0
5.685483871,-2.995616883,0
6.088709677,-3.004545455,0
5.241935484,-3.005357143,0
3.024193548,-3.014285714,0
-0.564516129,-3.011038961,0
-0.967741935,-3.010227273,0
6.935483871,-2.942857143,1
5.766129032,-2.953409091,1
5.322580645,-2.963149351,1
5.64516129,-2.943668831,1
7.016129032,-2.967207792,1
6.169354839,-2.962337662,1
5.725806452,-2.92987013,1
6.25,-2.955844156,1
5.927419355,-2.97775974,1
7.459677419,-2.985064935,1
7.862903226,-3.008603896,1
7.741935484,-3.026461039,1
6.935483871,-3.034577922,1
5.927419355,-3.039448052,1
4.072580645,-3.041071429,1
4.314516129,-3.048376623,1
6.491935484,-3.05,1
7.338709677,-3.041071429,1
5.846774194,-3.041883117,1
3.830645161,-3.041071429,1
2.540322581,-3.043506494,1
0.241935484,-3.044318182,1
-1.774193548,-3.041883117,1
-1.774193548,-3.041883117,1
-3.911290323,-3.042694805,1
-5.483870968,-3.037012987,1
-5.120967742,-3.030519481,1
-3.266129032,-3.030519481,1
-0.241935484,-3.028084416,1
2.822580645,-3.034577922,1
4.798387097,-3.033766234,1
